Certainty,Exposant,Match,Titre
100,"Moreau, Gustave","Moreau, Gustave",15
100,"Morot, Aimé","Morot, Aimé",1
100,"Mortemart-Boisse, Enguerrand de","Mortemart-Boisse, Enguerrand de",1
100,"Motte, Henri-Paul","Motte, Henri-Paul",6
100,"Mouchot, Louis","Mouchot, Louis",30
100,"Munkacsy, Mihaly","Munkacsy, Mihaly",1
100,"Muraton, Alphonse","Muraton, Alphonse",27
100,"Muyden, Alfred van","Muyden, Alfred van",2
100,"Médard, Eugène","Médard, Eugène",12
100,"Mélingue, Lucien","Mélingue, Lucien",11
100,"Nanteuil, Célestin","Nanteuil, Célestin",16
100,"Navlet, Victor","Navlet, Victor",28
100,"Nazon, François-Henri","Nazon, François-Henri",40
100,"Neuville, Alphonse de","Neuville, Alphonse de",1
100,"Noël, Jules","Noël, Jules",30
100,"Nègre, Charles","Nègre, Charles",25
100,"Némoz, Jean-Baptiste-Augustin","Némoz, Jean-Baptiste-Augustin",14
100,"Olivié, Léon","Olivié, Léon",24
100,"Ordinaire, Marcel","Ordinaire, Marcel",8
100,"Palizzi, Giuseppe","Palizzi, Giuseppe",10
100,"Paris, Camille","Paris, Camille",11
100,"Parrot, Philippe","Parrot, Philippe",32
100,"Passot, Gabriel-Aristide","Passot, Gabriel-Aristide",6
100,"Patrois, Isidore","Patrois, Isidore",51
100,"Pelez de Cordova, Fernand","Pelez de Cordova, Fernand",1
100,"Pelez, Fernand","Pelez, Fernand",8
100,"Pelouse, Léon-Germain","Pelouse, Léon-Germain",18
100,"Penguilly-L'Haridon, Octave","Penguilly-L'Haridon, Octave",6
100,"Penne, Olivier de","Penne, Olivier de",2
100,"Perrault, Léon","Perrault, Léon",31
100,"Perret, Aimé","Perret, Aimé",18
100,"Petit, Eugène","Petit, Eugène",23
100,"Pichon, Pierre-Auguste","Pichon, Pierre-Auguste",52
100,"Picou, Henri","Picou, Henri",11
100,"Pignerolle, Charles-Marcel de","Pignerolle, Charles-Marcel de",15
100,"Pille, Charles-Henri","Pille, Charles-Henri",20
100,"Pilliard, Jacques","Pilliard, Jacques",13
100,"Pils, Isidore","Pils, Isidore",9
100,"Place, Henri","Place, Henri",5
100,"Pluyette, Auguste-Victor","Pluyette, Auguste-Victor",21
100,"Poirson, Maurice","Poirson, Maurice",11
100,"Pommayrac, Pierre-Paul de","Pommayrac, Pierre-Paul de",19
100,"Poncet, Jean-Baptiste","Poncet, Jean-Baptiste",40
100,"Popelin, Claudius","Popelin, Claudius",6
100,"Priou, Louis","Priou, Louis",17
100,"Pron, Louis-Hector","Pron, Louis-Hector",27
100,"Puvis de Chavannes, Pierre","Puvis de Chavannes, Pierre",27
100,"Quantin, Jules","Quantin, Jules",12
100,"Quost, Ernest","Quost, Ernest",15
100,"Ranvier, Victor","Ranvier, Victor",2
100,"Rapin, Alexandre","Rapin, Alexandre",22
100,"Ravaut, René-Henri","Ravaut, René-Henri",3
100,"Reignier, Jean","Reignier, Jean",25
100,"Reynaud, François","Reynaud, François",35
100,"Ribot, Théodule","Ribot, Théodule",11
100,"Richaud, Joseph","Richaud, Joseph",8
100,"Richomme, Jules","Richomme, Jules",64
100,"Riesener, Léon","Riesener, Léon",8
100,"Rigo, Jules","Rigo, Jules",8
100,"Rivey, Arsène","Rivey, Arsène",13
100,"Rivoulon, Antoine","Rivoulon, Antoine",18
100,"Rixens, Jean-André","Rixens, Jean-André",12
100,"Robert, Léo-Paul","Robert, Léo-Paul",3
100,"Robert, Victor","Robert, Victor",7
100,"Robert-Fleury, Tony","Robert-Fleury, Tony",14
100,"Robie, Jean","Robie, Jean",13
100,"Robinet, Paul","Robinet, Paul",19
100,"Roche, Alexandre","Roche, Alexandre",12
100,"Roehn, Alphonse-Jean","Roehn, Alphonse-Jean",8
100,"Roll, Alfred","Roll, Alfred",2
100,"Romagny, Charles-Ernest","Romagny, Charles-Ernest",6
100,"Ronot, Charles","Ronot, Charles",34
100,"Rosier, Amédée","Rosier, Amédée",37
100,"Rouffio, Paul","Rouffio, Paul",11
100,"Rougeron, Jules-James","Rougeron, Jules-James",18
100,"Rousseau, Philippe","Rousseau, Philippe",70
100,"Rousseau, Théodore","Rousseau, Théodore",44
100,"Roux, Louis","Roux, Louis",14
100,"Roybet, Ferdinand","Roybet, Ferdinand",5
100,"Rozier, Dominique","Rozier, Dominique",19
100,"Rudder, Louis-Henri de","Rudder, Louis-Henri de",2
100,"Salmson, Hugo","Salmson, Hugo",11
100,"Sebron, Hippolyte","Sebron, Hippolyte",43
100,"Sellier, Charles","Sellier, Charles",27
100,"Servin, Amédée","Servin, Amédée",5
100,"Sorieul, Jean","Sorieul, Jean",16
100,"Soyer, Paul","Soyer, Paul",31
100,"Stevens, Alfred","Stevens, Alfred",21
100,"Stevens, Joseph","Stevens, Joseph",23
100,"Ségé, Alexandre","Ségé, Alexandre",9
100,"Tabar, Léopold","Tabar, Léopold",4
100,"Tassaert, Octave","Tassaert, Octave",10
100,"Thirion, Eugène","Thirion, Eugène",5
100,"Thuillier, Pierre","Thuillier, Pierre",34
100,"Timbal, Louis-Charles","Timbal, Louis-Charles",23
100,"Tissier, Ange","Tissier, Ange",70
100,"Tissot, James","Tissot, James",28
100,"Torrents, Stanislas","Torrents, Stanislas",6
100,"Toulmouche, Auguste","Toulmouche, Auguste",46
100,"Tourny, Joseph","Tourny, Joseph",29
